New 1|<Place Holder for NOS Account>
448905424764|AWS Saasforce
530442861152|DaaS Experiments
854670157863|Digital-Entertainment
Equity DR|Equity DR
433726475936|Hero AWS
613255583734|PM-Equities-NonProd
876285361116|PP Golden Race
253827618117|Payout CA
971131939842|VFQ-Bahrain
968583546969|cdp-ppbl-gm
000896760538|daas-acquired-apps
273914427098|digital_transportation
569146552653|ivr-bhr
335470755647|lending-abfl
516248475246|lending-fullerton
082780300630|lending-hero
383289569650|merchant-dms
993403631306|mmi-onprem
567122392682|nlp-data-room-haptik
121151806688|nongroup-insuranceds
988889888907|postpaid-lender-services
521026337032|ppblpg2-nonprod
671767570661|ppblpg2-prod
223603485256|ppblpromo-prod
285697138146|ppblriskpa-prod
010840421276|ppblump-prod
024792762357|pplus2nonprod
081656902703|pplus2prod
