account_id,account_name
Equity DR,Equity DR
977469002159,ppsl-oe-prod
New 1,<Place Holder for NOS Account>
613255583734,PM-Equities-NonProd
518628324662,rooter-production
620060638816,rooter-development
950209104383,rooter-production-transcoding
New 2,Place Holder for PSPL Gratification Account
976617403781,TicketNew Payer
552801059456,Feed Personalization
097267615780,hackathon
253827618117,Payout CA
567122392682,nlp-data-room-haptik
875620713396,EDC Online Sales
448905424764,AWS Saasforce
971131939842,VFQ-Bahrain
383289569650,merchant-dms
000896760538,daas-acquired-apps
530442861152,DaaS Experiments
854670157863,Digital-Entertainment
876285361116,PP Golden Race
990686183829,inpg.identity
416485671007,inpg.saas
220554634379,inpg.sandbox
113209881612,inpg.stage
257482651313,International PG
024792762357,pplus2nonprod
081656902703,pplus2prod
121151806688,nongroup-insuranceds
388138748053,onboardingengine-ppsl
433726475936,Hero AWS
466739061204,ads-experiments
569146552653,ivr-bhr
973217647660,paytm-chat-sendbird
968583546969,cdp-ppbl-gm
223603485256,ppblpromo-prod
285697138146,ppblriskpa-prod
755664431334,ocl-wealth-equity
335470755647,lending-abfl
082780300630,lending-hero
516248475246,lending-fullerton
021434688839,ocl-wealth-mf
521026337032,ppblpg2-nonprod
273914427098,digital_transportation
988889888907,postpaid-lender-services
993403631306,mmi-onprem
010840421276,ppblump-prod
416222998094,businesslanding
671767570661,ppblpg2-prod
637732598760,lending_ocl
