"Linked account","469795226344","352506242819","628412515026","567423616371","340077773684","304016915943","968032760053","002637409966","424503791295","075790327284","899249751508","564188254156","898496923608","272415727726","337891198417","445736908015","211125458732","705108899578","746682193773","003079193758","359716425895","381491835802","811134095225","901553615594","479671683529","761904723706","755560366148","210577074618","182401677120","423969094700","419830208690","753168370952","929265682896","546818093346","647564693872","975049957371","211125515568","161115069565","752518464574","251917288737","072401294672","522974168642","028914776520","233815244996","407648374860","576293063887","758230397644","239103975135","252197745876","474140895141","495419344110","984308723723","789596305652","021891570382","480732456233","337158390682","885068115609","090436275138","663804405009","318633126153","442447453008","736384229724","340677782776","997924011427","685585466397","698979518480","952840895893","562921704166","066636274316","064619502227","718893572916","339712759199","664526282133","615069360012","339712810712","722152247093","068930846606","127247839315","097001033170","471112958605","914516902729","541095382258","054736913503","848332057417","368920154232","821240137883","066548792077","439726107081","824873459626","131752971524","492902601864","153518195166","625612021127","611670160261","465354398947","135329050410","130653941854","272968093320","510772292268","494799526181","700271710604","290310562512","481935107677","841860372390","630307967658","389881277731","116631508635","017820698743","239666495852","745098155683","518207312579","471112938013","218943325897","505767364771","658447621694","798411736697","576911611801","654654315008","161282784430","538615689396","548411824430","608146213544","320811487590","367464822874","975049937880","453914767997","737499001343","661338130494","769263341944","023903256547","264522784930","475919677060","797142548187","954976288980","176839215860","576218818919","269350686318","678670235450","605458724602","239937555916","463470958933","860971823470","907058949943","322263815270","185774682289","470060591194","532041146482","913203018054","850995531967","905418240150",""
"Linked account name","billing account_ocl ($)","payments-platform_prod_ocl ($)","Datalake AWS ($)","parent account_ocl ($)","Paytm Financial Services ($)","payments-data-rtdd_prod_ocl ($)","Fraud AWS ($)","user-management-prod ($)","merchant-payments-api_prod_ocl ($)","cdp_growth marketing_ocl ($)","PayTm DaaS ML ($)","Lending DataScience ($)","games_pfg ($)","Paytm Ads ($)","digital_cst ($)","recharge bill payments_ocl ($)","tpap-prod ($)","daas-managed-services ($)","cds ($)","IOT Prod ($)","Travel Aws ($)","uth-prod ($)","AWS DaaS ($)","merchantdashboards ($)","cdp risk_ocl ($)","kyb ($)","SAP-HANA ($)","recon_prod_ocl ($)","onboardingengine ($)","pai_push_ocl ($)","AaaS-prod ($)","hawkeye_ocl ($)","payment-non-prod ($)","verifierAWS ($)","aml-prod ($)","tpap-dwh ($)","risk-ocl-tpap ($)","infosec-soc ($)","User Preferences System ($)","IT Production ($)","Oauth AWS ($)","paytmchat_ocl ($)","edc_prod_ocl ($)","payment-platform_nonprod_ocl ($)","IT_BACKUP ($)","digital_insurance ($)","Mall Bangalore ($)","QR ($)","AWS InfoSec ($)","Enterprise SMS ($)","incentive ($)","commonsaas_ocl ($)","regular_mf ($)","risk-lending ($)","dms-prod_ocl ($)","dap_ocl ($)","pai-sre ($)","Digital Channels ($)","663804405009 - Redacted ($)","AWS SMS ($)","Digital Gold ($)","cloudsecurity-logs ($)","aoa-prod ($)","ckyc ($)","recon_nonprod_ocl ($)","central_pipeline_ocl ($)","User Management ($)","paytm-ups ($)","webnmweb_ocl ($)","CentralToolsPlatform ($)","AaaS-nonprod ($)","feature-store-ocl ($)","Paytm Labs ($)","merchant-ra-automation ($)","tpap-nonprod ($)","paytm_app_ocl ($)","emi-prod_ocl ($)","Sysops AWS ($)","smartretail_ocl ($)","lending-dwh ($)","finance_support_ocl ($)","Card Tokenization ($)","scp-mgv ($)","mloyal_prod ($)","central_app_tech_ocl ($)","edc_non prod_ocl ($)","IOT Core ($)","risk-verifier-nonprod ($)","miniapps_ocl ($)","tocom-aws ($)","ncmc_acquirer_ocl ($)","cdo-non-prod ($)","aoa-nonprod ($)","emi-nonprod ($)","aml-nonprod ($)","CityBus ($)","insurance-ds ($)","legalapps ($)","cdo-dre ($)","AWS_Paytm'Mloyal ($)","labs-llm ($)","290310562512 - Redacted ($)","DaaS-Apps ($)","fastag issuer_prod_ocl ($)","dms-nonprod_ocl ($)","merchant-business ($)","fastag_non prod_ocl ($)","risk-devops-tools ($)","paytmhealth_ocl ($)","merchant_automation ($)","cst-ai ($)","tpap-oauth-dr ($)","devopscommon ($)","risk anomaly ($)","hrtech_ocl ($)","ncmc-acq-rupay-switch ($)","poc_infra_testing_ocl ($)","ondc-analytics ($)","cdp-ppbl-pa ($)","Pandora AWS ($)","pocketurmoney ($)","ppblmaquettepa-prod ($)","dev-projects ($)","One97 IT ($)","975049937880 - Redacted ($)","risk-monitoring ($)","call-centre-ivr ($)","telco-testing ($)","769263341944 - Redacted ($)","central tools ($)","AWS DNS ($)","content_ocl ($)","797142548187 - Redacted ($)","tocom-aisensy ($)","aws-omnicard-Prod ($)","576218818919 - Redacted ($)","AWS Pan 2 ($)","678670235450 - Redacted ($)","content_ml_ocl ($)","239937555916 - Redacted ($)","New Gold ($)","860971823470 - Redacted ($)","907058949943 - Redacted ($)","PM-EduTech-Prod ($)","pml-chat-dev ($)","edutech ($)","532041146482 - Redacted ($)","ppblpgpa-nonprod ($)","cst-playground ($)","905418240150 - Redacted ($)","Total costs ($)"
"Linked account total","12847736.482036585","4369430.980911923","3679252.964165616","1897336.5699192814","1736194.6442339253","1246483.4512190616","1180052.4429041625","1053496.6270309405","1019253.1274619919","897082.5196351887","819211.7645488435","768966.5238654452","759253.1855685433","713228.1415688032","694804.9177101974","665699.3229920109","590893.0451994577","576500.9392509102","413109.1227975998","412540.8490337646","405053.8392696662","398224.8321157976","377345.7934155033","372588.5130261433","303856.1927212935","255186.8008694268","250765.4943259452","248532.5874373691","218066.5031926052","206795.2576368519","199666.5829848998","194445.0808504645","166238.7819315375","153539.7770739108","148133.5041900071","140471.6039525652","139205.4082765489","131687.4945014411","128650.578845051","118515.2276096779","116149.8187424958","115370.3526216499","109995.1699846367","103146.9025563121","91666.0026277157","86990.4929544617","80097.2439425283","78988.946158673","77087.1895861549","76303.5403895989","64095.6844007374","56700.2407713166","56127.6906518976","53186.5228883939","49485.9601400102","48572.5769482796","44956.0715156605","42172.5641512484","40244.9220739643","39631.525122771","36338.125719285","34515.0293384926","34245.4700093321","32976.8339656955","30529.5363072578","29861.331634221","29170.7934259424","28708.1637528474","27502.9274232158","27214.393563066","26688.3735196274","26666.247603329","24138.0915681157","23845.5978667319","23637.2876724247","20732.1464430556","19334.825280621","18166.8762667485","18046.8521535022","17869.7848465558","17412.2199570582","15768.4253970109","15050.367247115","14424.9189169329","14190.9519075856","13900.2203784782","13638.0824169588","13279.5574876144","12646.869704847","12427.5088084132","11754.6553759287","11112.3121601091","10999.3270540048","10776.0226627656","10490.5050564687","10224.8694325266","9344.1374092075","8361.8452942125","7798.6533706381","7505.2955181212","7194.9902109828","7173.9257060505","6883.8086857999","6874.8878222652","6789.166340349","6150.0476134017","5891.8603025452","5086.055432356","5024.3164989431","4710.3511454041","3651.3326453442","3191.1970319144","3136.1073771062","2856.4860531421","2710.6918979181","2339.2444015739","2322.5904142205","2264.2692958113","2175.9958062293","2163.509212879","2063.5693715311","1929.3398028856","1742.6747695137","1675.0302617199","1619.6939110363","1541.6336872473","1464.712149635","1284.3670854035","1249.890785052","1093.9526009043","655.9451132785","642.3946693984","417.0073920638","345.6544491593","280.7811400724","223.3946628097","222.367420755","170.5779255874","112.4290440287","79.876988649","48.1010270859","43.2648966285","32.8165774971","17.9348576247","16.710660931","14.7741135987","9.9006799134","3.9402731917","1.8346802555","0.1801567595","43207357.913473986"
"2024-04-01","1452999.8840031845","580158.2975649042","367227.3155399277","231802.1357918547","163433.8895350119","129362.592368747","102009.4348873747","88287.5083655973","105465.0081603306","94252.4898921607","70012.0126940925","94693.4429265853","73659.3027924261","66903.3227346241","3113.0957015051","58648.7666475333","14674.675282869","57624.0983244451","50710.6086414781","40102.2201486472","37723.8817368305","3909.3878860733","30794.3187332403","41021.5259076579","42943.804229653","21905.3025174688","20821.2435571474","12316.9186587627","19826.5032052404","20479.9922263785","24359.5698412071","24025.3813853792","15537.4936097477","17889.9277430551","14303.270622439","2099.0718580028","6983.4296393823","12556.5284839182","11217.9074020552","11053.6262990883","9918.6566651008","11156.7830202549","10679.9199972406","11611.4418427363","7912.4353090372","6333.2318593669","6621.9046247342","6473.8350275214","4258.1396585997","7902.6302903052","5482.806623195","5107.926807418","2798.9543859198","","4361.0846213559","6825.1506676297","4864.1861386388","4923.6023166678","6740.5559762838","3703.9365376424","3047.0259084235","3159.6188024225","3743.613563577","3513.8284838535","3136.7427121327","3944.2435128599","3086.4005121362","2620.6848121006","2168.044955457","2394.7209644141","2176.3318948749","","1935.8202534898","1773.04066952","1472.6282193551","2121.5669067761","1779.3967707922","1315.0952213505","1553.4284133185","332.9433005604","496.0478711236","1652.1214099509","2132.5815667363","1169.4183636666","1334.0572090711","1513.9907673938","1056.4352939484","1046.2254241674","1302.7007459056","2062.2904451725","2670.5880792408","1083.6196283958","1414.4479704634","1049.4807330771","962.106671272","818.140804396","1187.5864299324","328.9264632898","641.7583040568","721.4126305778","2402.8255261192","1487.739707121","706.9380227338","1035.0384894335","682.2997779166","783.987161837","1477.3390453694","","451.8898163412","551.8128287051","385.688611348","319.7103456845","289.3304480416","244.9717656771","256.1116059278","1430.6140488365","218.4610669686","871.9903944771","1850.1989719708","323.2156739472","207.1494886246","593.2242302262","162.5572788601","152.8954799085","79.4049247728","139.6721454299","130.3092535878","122.6137870638","404.8737840757","94.0911596729","41.2556336857","96.5488283846","417.0073920638","","272.8959378033","53.1382622477","34.4218816767","40.1020083841","15.8117427342","79.876988649","","25.2460649968","9.1519430628","1.3994192743","1.048773975","1.151857656","1.7838468874","0.4732302248","","0.1801567595","4453453.9314140718"
"2024-05-01","1450091.221147632","489421.9721322878","332440.1842801341","214713.1786696263","156098.8866738794","122787.0418848597","105011.6919004491","88111.5230699865","96387.451229007","96366.3405687506","61053.079666562","95814.9462741597","80924.2060066214","59330.5181738645","3265.9222472629","58292.1664041647","32439.4769083848","51900.4466101641","51433.4336209165","39352.2363635157","37989.1097307863","8175.9914933616","31699.6855671143","37050.6847517707","37964.5099857069","22002.2503015391","21876.2878825513","12454.8625493121","20028.3591254983","20849.237319342","23090.8084537107","23176.0618530658","15547.8301327988","18629.3499272477","10502.0124027574","10362.7036877571","10073.1252742914","12446.8630500339","12168.4190941081","9173.8666002131","9751.0961637987","11851.8829397064","11824.644729089","10625.0767592544","8356.186400878","6615.9167080674","6104.7778791623","6441.5963331769","4511.7142211726","8542.7178283063","6924.1864433061","5237.981823232","3945.9135850081","","4212.6670211599","6734.6893869819","3218.2597047934","4335.1204941065","6576.6124779572","3715.0459929553","3126.988018758","3149.7458932453","3324.9300096378","3045.5061485606","2646.2093765301","3913.4577141244","2840.7543063639","2716.7548916084","2809.6345188831","2508.4575637745","2237.1030784485","268.8058506953","2001.1152788649","1850.2104546857","2365.4586247618","2080.7899348656","1862.7392569856","1386.906279505","1463.9822444628","1191.7060582484","579.3399761118","1704.0675361478","1541.2335142303","1492.3299005323","1214.8771861811","1550.9020542838","1074.3011158846","1322.423927163","1246.9436362173","1653.162120804","2248.9586665266","1761.4866040751","1374.8892419744","1042.4396092048","942.6113947497","938.1481987928","1033.5961623258","376.0651171765","661.8132456765","735.1875900716","1339.8046642473","1829.1405701512","728.6136809287","925.6546186662","630.7792304739","581.8360700058","894.9053910273","","463.8462699648","452.8952882755","402.0204216255","330.2714321296","297.7215824208","251.2775940771","264.7055159197","887.0028241205","223.6259408177","248.0875619567","224.130393995","328.6275505951","211.8471810456","650.1426871002","165.0986096082","156.6692786951","675.162216234","142.1364212826","125.8601245333","127.3474992537","376.1343532749","102.3626953646","114.1004762751","96.1902051946","","","1.1523211853","54.6052280317","34.1283216496","41.2959376711","15.6967658136","","","18.0188316317","6.280579301","1.2849630348","0.9304222109","1.0052967176","1.421032477","0.3768955319","","","4295734.2571529638"
"2024-06-01","1355992.1663344193","453036.8497598983","326660.5301163285","201027.5400954464","163134.2047716645","123309.8043166756","108326.3906477471","100053.9763309551","96952.6705284394","94186.4641372973","63303.9392642121","85478.756335584","86910.3283286607","60666.2334747539","12531.6245617868","60590.17128035","47884.871075222","51961.2040143567","41419.2598381355","36733.5161503335","35289.521323383","12187.5208390422","30697.5505785073","35742.0057344166","32550.5457502616","21758.6822176327","21716.1844317168","15003.7817731932","19572.5876337091","30932.6607311138","23299.9579052498","21252.1321901967","14700.5165854207","19358.7123920314","17311.3403515559","11023.8950366518","10139.9649949966","12436.1177742643","10849.5845988206","9527.0443924401","10006.2095580793","12002.4196945338","12470.7685772831","8181.0738716769","8575.2351900034","6816.7334092558","5640.644202322","7118.7965703505","5083.1284118015","8908.0618400463","6090.956533525","5034.2951680892","4905.9804241871","","4309.0559270788","4128.8895458666","3173.3235700705","4288.6220571835","7705.0290091733","3713.5335092076","3093.0543473576","3239.3548343347","3238.2588971165","3045.7630752862","2598.051279028","2389.398177258","2514.1335021235","2731.9812658354","2038.59723333","2505.3895033457","2219.6680283308","1257.6903112212","1967.2063126976","1872.7569298827","2310.8863670145","1865.808452069","1677.9758843059","1360.6164597534","1401.683755066","2141.8673699161","765.3032381523","1588.2005829467","1424.5206967575","1507.2696291695","1243.2868458644","1500.7019741758","1065.1567753843","1143.8411113312","1234.3832131651","1204.2046708059","2175.3888917698","1707.8240733633","1411.2441020067","942.83915108","905.3880503003","986.977803697","1011.1230532003","523.1779842971","647.2838010065","710.3676085071","820.0163302179","1796.463082412","698.2062201333","974.1056632065","637.386392484","565.4662767886","893.3733076794","","456.6608592364","442.0508874993","396.5755427928","319.9488516413","371.6292409471","245.2478095839","258.0473464153","7.9122410192","217.5200723087","262.2115964241","98.2655499753","336.209767292","204.1691620215","163.216564911","161.0390733853","153.1023598179","715.8248129469","139.8858738429","126.1927993843","140.2504841887","271.3388889513","215.2228628082","61.5624535385","95.6720943597","","","1.4655527226","52.6780109892","34.0811298198","40.3690804058","15.8398984032","","","","3.2873409204","1.6309415386","1.9859585776","1.2841988161","1.7736040361","0.7245878844","","","4185232.0856811858"
"2024-07-01","1554342.4056242558","421904.8878702285","315821.7148083943","178154.8356684251","169062.4360301217","116053.9714516606","113410.6205089604","103937.7254702185","95288.9902657444","86763.9346777365","65143.264797726","71715.3840611836","81935.5802959717","61876.966308712","23494.3069776283","61363.3038008824","55998.6193311702","51648.5609663355","47812.2391045924","39042.4299463292","34152.1880465922","25264.8942472845","32722.0158571671","33399.8767927348","32881.4957031101","23357.9472333943","21919.5127659705","17320.8684048809","19837.3983641317","24861.2445022557","19046.4006038308","20910.8775612441","14859.0069691299","19206.489906578","10176.6287850441","14314.8418898318","10809.6859100492","12412.6791011392","12343.9139544761","9743.9799309213","10115.312783031","11146.1975105213","10752.5231308667","8763.1577615392","8375.8194085113","7134.9601731604","5164.7609221182","7768.9625718973","5281.386699868","6811.4831597591","7180.5719187301","5524.932576046","5056.372929727","","4373.9253667616","4213.4707547065","3810.2304494013","4332.6343082227","8906.2885547298","3747.7919514123","3342.0917187461","3387.0601265553","3386.6545613444","3124.0322727808","2818.4924738736","2598.3369943331","2483.6100974471","2753.3385404225","2318.6414844189","2684.0336951633","1901.0525868967","2004.0344408009","2028.7934437958","1944.5480569448","2589.3689082032","1913.9005262283","1669.399073503","1433.45122827","1404.3580150067","2067.0013194561","836.4530310493","1589.9774662988","1641.113027249","1603.8972617195","1280.1047428183","1471.3915243482","1095.0250912566","1487.5354634697","1236.482073369","1083.4660975521","907.7900363227","1099.1415751821","1444.5876836702","962.57506206","917.3585770756","1012.5007243646","1034.2431052185","543.875506382","660.4332783455","779.2158331996","836.8605092702","1745.2371194545","711.688754483","846.2062862875","635.1346572482","585.5490457199","809.5745883554","","479.5804605318","448.2842377554","492.5865493935","330.6244740094","297.966597337","251.6363022382","265.4630902859","6.1402781589","224.1964528583","267.4728561404","1.2289384486","347.5284385987","208.5108031305","168.4757639866","167.0669923661","156.9545942272","121.8041543966","142.4326296357","127.3040282034","133.810437647","194.9487304933","242.8593884137","76.555664148","95.7259454623","","","3.3172112863","53.8100733563","39.4512733889","41.6438373384","15.853811548","","","","7.9061291772","1.5743467239","1.1931280149","1.2053006521","3.0070313548","0.7272001089","","","4334903.37226383"
"2024-08-01","770273.8691792873","383331.364136005","318743.0057829522","156288.2419484305","161049.4618332481","112959.7799241473","115962.6428332282","107463.1040169627","92098.0190907858","78899.5233072349","66452.3208656611","59808.9207848556","80809.7624520579","62709.3674440882","31492.0312179757","60034.5377467831","65019.0975459471","48927.7071337433","43304.2377305348","41248.7453904768","35292.2363123796","34582.6561030796","33928.5344299927","32145.3613298805","22358.9034354531","24944.1445692533","21730.2436940387","19438.0927622257","20188.7911813535","20656.5363069624","15137.8254977567","17689.8030521894","15036.2072633037","19678.0276309176","16261.050412839","9130.8236455654","11433.8786901357","12427.7138518006","12350.6459829463","10208.0403727868","10235.7176449665","10143.128689023","9636.6794889232","8756.3319644482","8434.9598259979","8055.289620748","5118.4488245398","7653.432786507","5876.4120855264","6520.0183364993","6082.9102943969","5178.4654948118","5986.4580698764","582.2169985553","4847.2403525624","4020.8720607001","3816.8578679266","4090.528412439","10316.4360558202","3723.4647712444","3393.0904168315","3513.178412208","3032.0865861877","3107.755921842","2563.0643820649","2725.2895954751","2494.3116137601","2697.471052585","2543.0819062129","2924.9744927508","2444.9433002732","2974.9601624284","2049.0528985348","1989.1467238572","2415.7019575591","1835.8751608222","1608.9076283674","1475.817128869","1403.1176911691","1985.1683789578","1112.7248674862","1587.109741946","1526.4384356844","1288.4813691372","1139.1492395138","1422.9510810857","1168.93704739","1590.9065547965","1231.6576676384","947.3934840675","689.168356949","899.4783195547","1065.4687578983","957.3573377966","920.9082859787","1008.6510738673","1034.2357628353","638.32561947","671.7573900374","725.787686279","838.0541896377","315.3452269118","648.17640988","804.2678823234","639.5718156299","583.2455318501","575.7063412926","24.6370735084","488.4138356241","444.0366913587","762.564778369","330.7036593461","297.488750064","251.7188619512","265.9600076423","3.8471626216","223.2472200787","280.4489103342","1.217551434","348.0909583537","208.7063553082","168.3731574941","167.2344359779","156.857323523","27.497802686","142.3372892687","133.9592625103","119.5727706249","1.8672012946","255.2956917096","50.2468368095","95.5467461687","","","1.1700855037","9.1630881848","40.6041349708","7.167061788","15.6838981391","","","","6.1905850357","1.4746815592","1.0891799269","1.0945028019","1.9151651581","0.7928124753","","","3471115.592952077"
"2024-09-01","1248027.5231203996","395840.5547669136","312069.723384995","156502.2058569074","149386.8568944621","111340.7345042379","108822.0610597484","106051.9419643008","83329.6956057046","71209.7566827307","65660.5370456629","63853.3616268837","71531.1147573925","60961.8835585136","53799.2019529065","60468.8103374398","54408.5353044869","49740.8980805787","30392.4154880623","42226.8190683013","35581.773990028","35386.119849111","33988.311791307","31761.957886058","21517.1965803905","22157.0926558889","21736.0496399164","22855.5706325467","20155.9155330736","17116.9661097983","15226.101230801","16980.8695619574","14957.6389632996","19013.5073542129","9155.4525634274","9465.6299889819","11674.5102875627","11636.1905386123","11236.5694748641","10383.332606627","14971.4730037337","9907.4285342542","9348.2591111657","8896.6956161939","8254.4503564976","9158.7139005072","5134.2913079825","6868.5861056952","5670.051699944","6331.644412752","5361.8042888637","4467.733982041","5825.6916865883","6392.0833321787","5111.5634370228","3961.8819396725","3702.4956015461","4409.5859063001","","3683.3493088343","3322.768166883","3232.3181347005","2946.2008800515","2862.6870490937","2477.2550477675","2767.2703453995","2446.4664658328","2622.380372605","2571.5321087118","2585.5070194338","2718.0296746451","2964.8841711335","1980.2647010338","2477.2698599777","1931.5672676169","1886.300501161","1593.5156613129","1402.0259081669","1418.7610451256","1359.9031634223","1529.4141659913","1546.75310492","1645.7212275652","1290.9635044439","1235.9673464653","1113.2719520236","1076.947706794","1331.7617226685","1163.2107678677","784.595134487","630.224916122","871.667070331","842.0734779783","945.0425410347","911.4841222642","988.2418001273","1011.6196266504","598.7654155461","739.0861875693","674.999022","814.7786267133","","612.9990232207","766.6523096829","583.8381929112","565.5975876759","391.76852196","658.4405627214","469.6769612574","417.3336828852","730.6084687123","319.7952428562","287.4924618402","245.0601375408","257.972481589","3.7278468734","220.4158614592","268.7649988493","0.9544013262","337.8316504594","197.916026611","163.2311897601","166.3920348805","153.1193261201","","139.9612171726","129.9260132118","118.5775419158","0.7278269622","137.6296954773","49.4930235174","95.7462363807","","","0.7800315485","","36.8723908258","","16.2940583653","","","","","1.6817975959","1.3430384389","1.3255714018","","0.5564308478","","","3892933.1726593586"
"2024-10-01","244865.5124702216","-0.000104094","614.358249643","-0.0001688707","196.0882100552","0.0001260471","-0.0000408198","1987.2053920973","1551.5124899147","33.930168834","968.6887675917","74.007183285","207.0106881602","1916.2800331646","-0.0000053627","16.9231599798","-0.0000247621","-0.0000071947","0.0000383433","1.0467296932","0.0000156704","7.0949149814","18.5989191477","257.184272685","0.0000027679","3.6860118177","2910.7400802806","0.0001160042","219.4611216765","0.0000489808","87.8594562849","0.0000473903","-0.0000387327","728.300135033","0.0000062424","0.0000006615","0.000005488","54.1146121005","8.7818758146","-0.0001038533","645.3380269096","0.003227214","229.1378432829","0.0000042461","0.0000002798","0.0000068337","0.4441231007","217.2314098141","-0.000007195","0.0000034573","376.7447996973","0.0000808377","0.7600075837","-0.0000020445","5.8588374868","-0.0000001154","-0.0000020799","0.0001170239","","-0.0000046677","-0.0000267579","1311.1977038086","-0.0000289131","2.0342417959","0.000073868","-0.0000001876","0.0000814354","-0.0001035205","0.0000013437","-0.0000114734","0.0411854609","0.0000012142","1605.9599950461","-0.0000245739","-0.0000000184","-0.0000009658","-0.0000002774","0.0000004011","-0.000107521","-0.0000062007","0.0000776252","0.1791601153","1.0368450046","1.5238428789","1.3167562514","0.0000002494","-0.0000029119","0.0000019995","-0.0000120115","-0.000005602","0.0000047667","0.000001738","0.0000012127","0.0000007835","0.0000033869","-0.0000005807","-0.000000533","0.0000000991","-0.0000007686","-0.00000029","-0.0000300227","","0.0000017918","-0.0000027898","0.000000925","-0.0000003925","0.0000014865","0.0000024232","-0.0000048868","-0.0000004594","0.0000094795","-0.0000000382","-0.000005517","0.0000003947","0.0000011284","-0.0000000562","-0.000002085","0.0000000562","-0.0000009206","-0.0000052198","0.0000007505","-0.0000003443","-0.0000001959","-0.0000001304","","-0.000000192","-0.0000001591","-0.0000002169","","-0.0000001143","-0.0000020172","0.0000004922","","","0.0000000227","","-0.0000063219","","-0.0000001392","","","","","0.0000002165","-0.000000325","0.0000001406","","-0.0000000676","","","261127.1929321069"
"2024-11-01","236544.8699549828","320903.0467414526","315690.3559309837","155184.2130940758","152159.0985909074","118865.9251822147","97489.4961419778","88632.3480451318","88141.1350271488","72945.2528923854","81679.5229188908","63145.7499263237","56577.4008025453","63898.6807934258","106600.7815768903","63127.0397297899","65247.6603016525","46868.336278125","29115.3990773124","39969.3825894485","41194.220213816","47413.6277804123","34597.1006621826","32080.052728791","19959.4062140664","23472.5778159078","22229.7486927573","21463.6364766308","19006.7369461824","15453.0020657974","17522.5909190007","16269.997366817","16367.4905947362","7907.3544352011","10811.2923714823","10637.4558891024","14936.2414653168","11697.6475422199","10321.9251120779","11810.1524874415","10122.8586442845","9599.992245978","9395.7522824566","9769.0876697853","8151.9207791963","8332.0427116194","9532.8906745232","7286.4624622797","8550.4151836664","6421.8819154939","5507.1897504435","5321.5318487266","5816.8044746256","7008.5534459485","4320.9539524652","4186.0159795938","4273.9084397697","3448.7981010659","","3576.19933772","3813.3593303954","2889.8647512167","3009.7933561591","2920.7209006557","2776.1388105794","2397.7321118932","2590.8776850445","2618.8437655287","2512.4224231082","2453.6163849269","2697.5786197855","2932.7184179851","2117.2632529242","2423.9817724137","1815.3044042659","1768.2720475595","1708.3611746913","1826.7060601808","1674.121520936","1346.8141948166","2316.7183242965","1540.0261213535","1318.8389815786","1358.6635419005","1378.3238822063","1126.6830596842","1059.3313553222","1055.4669645978","1154.4066751508","655.7031989166","620.1593136909","881.1805971624","833.1428042054","999.7978019571","992.2363810242","997.54470815","1011.9085990475","1035.1772699101","913.0755530112","743.3881720059","142.6503947999","","610.5519549488","743.669254463","790.599514744","566.5383221221","380.6924952526","1036.9203591128","500.7051358444","416.1139432594","481.2882636236","319.7005216467","287.202841461","244.5192050124","257.7668846532","","219.9144716512","65.2929775733","","142.0051788527","186.6926298327","22.6762097517","165.5034905438","153.0807366391","","139.9372748537","133.086715806","133.8008076319","","46.4911075723","39.5449462319","66.9646129556","","","","","2.8082947453","","16.042816438","","","","","1.6329259882","2.0420040664","1.29530312","","0.2891161862","","","2877165.4982768689"
